"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"EV","Atlantic Southeast Airlines",2009,4639544,1129897,195657,1349463,1574,1962953,7.02899239838233,6.10555038097514,5.94633988749617,6.67380768006941,1.99680308527643,8.20966574735447
"EV","Atlantic Southeast Airlines",2010,3880916,1325946,184852,722237,2427,1645454,6.13510828392233,6.89967818403065,6.63690950634997,4.45025416661583,2.25956614840331,6.603408352905
"EV","Atlantic Southeast Airlines",2011,4753139,1788303,172145,634309,3478,2154904,7.7066338119327,9.63876338371285,6.72869046069514,4.14494083267497,4.27519575184689,8.55807828230327
"EV","ExpressJet Airlines Inc.",2012,10234754,3441656,375026,1872886,5186,4540000,17.9819902393484,18.9461580265312,16.4498795952294,14.5990489228083,7.0990527295625,19.2621395603955
"EV","ExpressJet Airlines Inc.",2013,11855385,3366064,312367,2859779,5278,5311897,16.4800947910385,15.9250622264943,10.5027212789658,16.4101738086469,5.09208787180056,17.5333075763875
"EV","ExpressJet Airlines Inc.",2014,10822734,3335616,276162,2680248,2833,4527875,15.3913562902697,15.6900692770904,9.24030061542446,16.2247044395704,4.33511859219587,15.3570663991678
"EV","ExpressJet Airlines Inc.",2015,6850156,2363973,169313,1687894,0,2628976,10.9336821518822,11.7185255348795,5.46129919912471,11.7740096410641,0,10.5319416194204
"F9","Frontier Airlines Inc.",2007,941066,279277,39509,405929,2167,214184,0.93206475242511,0.968801199705693,0.687675382547607,1.4389810515793,1.22466741265697,0.563539140730156
"F9","Frontier Airlines Inc.",2008,816449,250971,21370,356334,391,187383,0.942368321020548,1.0436158323089,0.461184832824275,1.36153444160501,0.342034360894363,0.591668986931012
"F9","Frontier Airlines Inc.",2009,852954,180181,19105,262146,0,391522,1.29224061290717,0.973632263112905,0.580632553655706,1.29645050520057,0,1.63746393965404
"F9","Frontier Airlines Inc.",2010,722951,156994,12116,197692,0,356149,1.14287005154709,0.816932270864506,0.435011769301583,1.21813150905675,0,1.42926953988307
